Command: ,8.75T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
386954716 ,5362.25 ,12.76 ,97.66 ,0.00 , 
387021676 ,5364.81 ,1.92 ,146.48 ,169.15 , 
387089044 ,5357.78 ,11.69 ,244.14 ,176.05 , 
387156226 ,5357.78 ,11.69 ,32.55 ,28.19 , 
387223322 ,5363.53 ,1.11 ,130.21 ,74.59 , 
387290482 ,5355.87 ,12.73 ,48.83 ,48.83 , 
387357610 ,5367.37 ,4.00 ,97.66 ,84.57 , 
387424758 ,5360.97 ,3.32 ,179.04 ,74.59 , 
387491950 ,5354.59 ,12.14 ,130.21 ,112.76 , 
387559138 ,5358.42 ,9.44 ,162.76 ,56.38 , 
387626228 ,5359.69 ,14.12 ,65.10 ,28.19 , 
387693374 ,5356.51 ,12.15 ,146.48 ,84.57 , 
387760550 ,5360.97 ,5.07 ,227.87 ,184.86 , 
387827722 ,5355.23 ,7.65 ,260.42 ,101.64 , 
387894876 ,5362.89 ,13.28 ,146.48 ,84.57 , 
387962026 ,5364.81 ,1.92 ,81.38 ,74.59 , 
388029144 ,5361.61 ,10.90 ,244.14 ,48.83 , 
388096324 ,5364.81 ,6.65 ,146.48 ,48.83 , 
388163450 ,5364.81 ,1.92 ,162.76 ,112.76 , 
388230648 ,5362.25 ,12.76 ,97.66 ,48.83 , 
388297760 ,5361.61 ,9.65 ,244.14 ,129.19 , 
388364956 ,5354.59 ,9.81 ,65.10 ,56.38 , 
388432068 ,5363.53 ,12.18 ,162.76 ,240.86 , 
388499280 ,5359.06 ,15.20 ,227.87 ,268.92 , 
388566418 ,5359.06 ,13.81 ,65.10 ,28.19 , 
388633542 ,5356.51 ,12.15 ,276.69 ,171.48 , 
388700760 ,5362.25 ,4.43 ,195.31 ,129.19 , 
388767886 ,5364.17 ,6.74 ,113.93 ,28.19 , 
388835004 ,5362.89 ,11.66 ,113.93 ,28.19 , 
388902188 ,5363.53 ,1.11 ,81.38 ,56.38 , 
388969314 ,5366.09 ,6.17 ,146.48 ,97.66 , 
389036468 ,5365.45 ,7.27 ,97.66 ,84.57 , 
389103612 ,5364.17 ,2.22 ,341.80 ,223.76 , 
389170830 ,5362.25 ,12.76 ,81.38 ,56.38 , 
389237960 ,5361.61 ,15.49 ,113.93 ,74.59 , 
389305130 ,5362.25 ,4.43 ,65.10 ,28.19 , 
389372250 ,5362.89 ,11.66 ,113.93 ,56.38 , 
389439450 ,5364.81 ,3.32 ,162.76 ,101.64 , 
389506612 ,5359.06 ,8.35 ,97.66 ,48.83 , 
389573706 ,5355.87 ,12.73 ,113.93 ,74.59 , 
389640908 ,5361.61 ,5.53 ,32.55 ,28.19 , 
389708020 ,5370.57 ,7.69 ,146.48 ,84.57 , 
389775184 ,5370.57 ,1.92 ,32.55 ,28.19 , 
389842336 ,5356.51 ,11.04 ,113.93 ,74.59 , 
389909578 ,5352.05 ,2.92 ,32.55 ,56.38 , 
389976644 ,5365.45 ,15.98 ,97.66 ,84.57 , 
390043818 ,5364.17 ,1.11 ,244.14 ,84.57 , 
390111008 ,5362.89 ,13.28 ,81.38 ,28.19 , 
390178148 ,5367.37 ,4.00 ,81.38 ,28.19 , 
390245278 ,5362.25 ,4.82 ,32.55 ,56.38 , 
390312436 ,5361.61 ,12.17 ,292.97 ,244.14 , 
390379638 ,5366.09 ,4.00 ,211.59 ,74.59 , 
390446756 ,5352.05 ,9.80 ,113.93 ,56.38 , 
390513928 ,5355.87 ,12.73 ,97.66 ,97.66 , 
390581060 ,5360.97 ,5.07 ,16.27 ,28.19 , 
390648204 ,5357.14 ,7.65 ,146.48 ,48.83 , 
390715362 ,5363.53 ,13.87 ,48.83 ,0.00 , 
390782340 ,5357.14 ,11.64 ,130.21 ,28.19 , 
390849716 ,5366.09 ,9.47 ,113.93 ,28.19 , 
390916838 ,5358.42 ,9.63 ,179.04 ,230.75 , 
390984026 ,5364.17 ,1.11 ,211.59 ,197.34 , 
391051188 ,5357.14 ,11.95 ,260.42 ,74.59 , 
391118332 ,5368.01 ,2.93 ,146.48 ,84.57 , 
391185452 ,5368.65 ,6.66 ,65.10 ,28.19 , 
391252576 ,5354.59 ,12.14 ,130.21 ,112.76 , 
391319812 ,5358.42 ,9.44 ,341.80 ,169.15 , 
391386934 ,5358.42 ,14.87 ,130.21 ,184.86 , 
391454122 ,5363.53 ,12.18 ,227.87 ,197.34 , 
391521276 ,5353.96 ,10.87 ,32.55 ,28.19 , 
391588394 ,5356.51 ,6.72 ,162.76 ,101.64 , 
391655566 ,5364.17 ,12.77 ,65.10 ,28.19 , 
391722684 ,5355.87 ,12.15 ,211.59 ,156.96 , 
391789906 ,5359.06 ,10.66 ,179.04 ,112.76 , 
391857038 ,5367.37 ,9.08 ,130.21 ,140.95 , 
391924156 ,5357.14 ,11.64 ,113.93 ,122.88 , 
391991334 ,5364.17 ,12.77 ,81.38 ,28.19 , 
